,,,,,,,,,,,,,,,,,,,,
,Age (years),Non-trauma EDV CRFs [ICD 10: A00-R99],SE,Asthma HA CRFs [ICD 10: J45],SE,WA baseline incidence rate (per person per day),Asthma symptoms onset CRFs [ICD 10: J45],SE,"COPD Emergency HA  CRFs [ICD 10: J41,J42,J43,J44]",SE,"Acute Otitis Media (ear ache) Outpatient healthcare CRFs [ICD-10: H65, H66, H67, H68, H69, J10, J11, J12]",SE,Respiratory Disease HA CRFs [ICD 10: J00-J99],SE,"Ischemic heart disease EDV CRFs [ICD 10: I20-I25, I46, I49]",SE,Age (years),,,
,44,0.0038718782,3.22E-05,0.00633228,0.001968787,0.000000943456164383562,0.030648282,0.0003433619,6.78E-03,0.001545498,-,-,0.00590462,0.002618501,-,-,44,,,
,45,0.0038531237,3.19E-05,0.00645014000000002,0.001991527,0.000000970693698630137,0.030650989,0.0003448903,6.69E-03,0.001490156,-,-,0.00607286999999998,0.00267224,-,-,45,,,
,46,0.0038343692,3.17E-05,0.00656829,0.002013989,0.000000998114520547945,0.0306523359999999,0.0003464187,6.61E-03,0.001435898,-,-,0.00624277000000001,0.002732077,-,-,46,,,
,47,0.0038156146,3.14E-05,0.00668674999999999,0.002035951,0.0000010256895890411,0.0306524110000002,0.0003478919,6.52E-03,0.001383185,-,-,0.00641431000000001,0.002797395,-,-,47,,,
,48,0.0037968601,3.13E-05,0.00680548999999997,0.002057235,0.00000105339260273973,0.0306512999999999,0.0003492532,6.45E-03,0.0013324,-,-,0.00658748000000001,0.002867621,-,-,48,,,
,49,0.0037781056,3.12E-05,0.00692453000000004,0.002077711,0.0000010811997260274,0.0306490799999999,0.0003504462,6.38E-03,0.001283848,-,-,0.00676226999999999,0.002942235,-,-,49,,,
,50,0.0037593511,3.11E-05,0.00704389,0.002097297,0.0000011090895890411,0.030645826,0.0003514165,6.31E-03,0.001237761,-,-,0.00693869999999999,0.003020779,-,-,50,,,
,51,0.0037405965,3.11E-05,0.00716352999999997,0.002115952,0.00000113704164383562,0.0306416060000001,0.0003521143,6.25E-03,0.001194299,-,-,0.00711673000000002,0.003102856,-,-,51,,,
,52,0.003721842,3.11E-05,0.00728348000000001,0.002133683,0.00000116503863013699,0.0306364809999999,0.0003524971,6.20E-03,0.001153555,-,-,0.00729637,0.003188138,-,-,52,,,
,53,0.0037030875,3.12E-05,0.00740371000000001,0.002150543,0.00000119306356164384,0.0306305150000001,0.0003525324,6.14E-03,0.001115562,-,-,0.00747763000000001,0.003276361,-,-,53,,,
,54,0.0036843329,3.14E-05,0.00752427,0.002166627,0.00000122110164383562,0.0306237619999998,0.0003522017,6.10E-03,0.001080303,-,-,0.00766046999999997,0.003367327,-,-,54,,,
,55,0.0036655784,3.16E-05,0.00764509000000002,0.002182081,0.00000124913917808219,0.030616274,0.0003515039,6.05E-03,0.00104771,-,-,0.00784489999999999,0.0034609,-,-,55,,,
,56,0.0036468239,3.18E-05,0.00776623999999998,0.002197095,0.00000127716356164384,0.0306081030000001,0.0003504606,6.01E-03,0.00101768,-,-,0.00803093000000005,0.003557009,-,-,56,,,
,57,0.0036280694,3.22E-05,0.00788766000000002,0.002211908,0.00000130516356164384,0.030599292,0.0003491204,5.97E-03,0.0009900744,-,-,0.00821852999999995,0.003655639,-,-,57,,,
,58,0.0036093148,3.25E-05,0.00800939000000001,0.002226809,0.00000133312876712329,0.0305898870000001,0.0003475655,5.94E-03,0.0009647316,-,-,0.00840771000000001,0.003756832,-,-,58,,,
,59,0.0035905603,3.29E-05,0.00813139999999996,0.002242136,0.0000013610495890411,0.030579927,0.0003459176,5.90E-03,0.0009414713,-,-,0.00859845000000004,0.003860685,-,-,59,,,
,60,0.0035718058,3.33E-05,0.00825371000000003,0.002258275,0.00000138891753424658,0.0305694509999999,0.0003443452,5.87E-03,0.000920101,-,-,0.00879074999999996,0.003967346,-,-,60,,,
,61,0.0035530513,3.38E-05,0.00837631999999999,0.002275665,0.00000141672465753425,0.0305584940000001,0.0003430698,5.84E-03,0.0009004222,-,-,0.00898462,0.004077013,0.000131178999999981,0.0009182766,61,,,
,62,0.0035342967,3.43E-05,0.00849920999999998,0.002294789,0.00000144446410958904,0.030547093,0.0003423716,5.82E-03,0.0008822351,-,-,0.00918002000000001,0.004189929,0.000327559000000005,0.0009306948,62,,,
,63,0.0035155422,3.49E-05,0.00862238000000004,0.002316176,0.00000147212904109589,0.0305352759999999,0.0003425925,5.79E-03,0.0008653433,-,-,0.00937696999999998,0.004306382,0.000522247000000003,0.0009367646,63,,,
,64,0.0034967877,3.55E-05,0.00874585,0.002340397,0.00000149971369863014,0.0305230750000001,0.0003441349,5.77E-03,0.000849557,-,-,0.00957547000000003,0.0044267,0.000714211999999992,0.0009358449,64,,,
,65,0.0034780331,3.62E-05,0.00886960999999997,0.002368055,0.00000152721260273973,0.030510518,0.0003474537,5.75E-03,0.000834696,-,-,0.00977548,0.00455125,0.000902439000000005,0.0009277386,65,,,
,66,0.0034592786,3.68E-05,0.00899364000000002,0.002399785,0.00000155462109589041,0.0304976309999998,0.0003530406,5.73E-03,0.0008205917,-,-,0.00997703,0.004680433,0.00108593800000001,0.0009126955,66,,,
,67,0.0034405241,3.75E-05,0.00911795999999998,0.002436235,0.00000158193452054795,0.0304844390000001,0.0003613999,5.71E-03,0.0008070886,-,-,0.0101801,0.004814682,0.00126377,0.0008914113,67,,,
,68,0.0034217696,3.83E-05,0.00924256000000001,0.002478064,0.00000160914904109589,0.0304709650000001,0.0003730189,5.69E-03,0.0007940448,-,-,0.01038467,0.004954458,0.00143504899999999,0.0008650233,68,,,
,69,0.003403015,3.90E-05,0.00936745,0.002525928,0.00000163626109589041,0.0304572329999997,0.0003883369,5.68E-03,0.0007813323,-,-,0.01059077,0.005100249,0.00159895800000001,0.0008350951,69,,,
,70,0.0033842605,3.98E-05,0.00949261000000001,0.002580466,0.00000166326739726027,0.030443263,0.0004077192,5.66E-03,0.0007688374,-,-,0.01079835,0.005252559,0.00175476399999999,0.0008035824,70,,,
,71,0.003365506,4.06E-05,0.00961803999999999,0.00264229,0.00000169016493150685,0.0304290740000002,0.0004314421,5.65E-03,0.0007564598,-,-,0.01100744,0.005411915,0.001901818,0.0007727567,71,,,
,72,0.0033467515,4.15E-05,0.00974375999999999,0.002711973,0.00000171695123287671,0.0304146840000001,0.0004596906,5.63E-03,0.0007441125,-,-,0.01121802,0.005578852,0.00203956800000002,0.0007450628,72,,,
,73,0.0033279969,4.23E-05,0.00986975000000001,0.002790043,0.00000174362410958904,0.0304001129999998,0.0004925676,5.62E-03,0.0007317205,-,-,0.01143009,0.005753918,0.00216755999999999,0.0007228827,73,,,
,74,0.0033092424,4.32E-05,0.009996,0.002876972,0.00000177018109589041,0.0303853750000003,0.0005301097,5.61E-03,0.0007192207,-,-,0.01164362,0.005937667,0.002285444,0.0007082079,74,,,
,75,0.0032904879,4.41E-05,0.01012255,0.002973173,0.00000179662054794521,0.0303704869999999,0.0005723066,5.60E-03,0.0007065604,-,-,0.01185864,0.006130651,0.00239297000000001,0.0007022792,75,,,
,76,0.0032717334,4.50E-05,0.01024934,0.003079001,0.00000182294082191781,0.0303554629999998,0.0006191185,5.59E-03,0.000693697,-,-,0.0120751200000001,0.006333426,0.002489992,0.0007053153,76,,,
,77,0.0032529788,4.60E-05,0.01037641,0.003194748,0.00000184914054794521,0.0303403170000003,0.00067049,5.58E-03,0.0006805969,-,-,0.01229308,0.00654654,0.002576456,0.000716453,77,,,
,78,0.0032342243,4.69E-05,0.0105037499999999,0.003320653,0.00000187521835616438,0.0303250609999997,0.0007263613,5.57E-03,0.0006672351,-,-,0.01251247,0.006770536,0.002652405,0.0007339329,78,,,
,79,0.0032154698,4.79E-05,0.01063135,0.003456898,0.00000190117342465753,0.03030971,0.0007866742,5.56E-03,0.0006535943,-,-,0.01273333,0.007005944,0.002717968,0.0007554433,79,,,
,80,0.0031967152,4.89E-05,0.0107592200000001,0.003603623,0.00000192700493150685,0.0302942720000003,0.0008513763,5.55E-03,0.0006396641,-,-,0.01295563,0.007253286,0.00277334899999999,0.0007784872,80,,,
